txt,Text
aac,"Advanced Audio Coding MPEG-2, MPEG-4"
aam,"Authorware shocked"
aax,"Audible Audiobook"
ab2,"Parson's Address Book"
ab6,"Datafile (ABStat)"
ab8,"Datafile (ABStat)"
aba,"Palm Address Book"
abc,"ActionScript Byte Code"
abd,"AmBiz Bonus Calculator data"
abf,"Adobe Binary Font"
abi,"ABI CODER Encryption software"
abk,"Automatic backup file (CorelDRAW)"
abm,"ImagePals Photo Album Document"
abr,"Adobe Photoshop brush"
abs,"Abstracts (info file)"
abw,"AbiWord document"
abx,"WordPerfect Address Book"
aby,"AOL file"
ac3,"AC3 Audio File Format"
aca,"Microsoft Agent Character"
acb,"Graphics (ACMB)"
acc,"Program - DR-DOS - ViewMax"
acd,"Sonic Foundry Acid music"
ace,"Ace Archiver / WinAce compressed"
acf,"Microsoft Agent Character"
aci,"ACI Development Appraisal"
acl,"Microsoft Office Auto Correction"
acm,"Audio Compression Manager Driver"
acorn,"ACORN Graphics format"
acs,"MS Agent Character"
acs2,"AIMP2 Media Player Skin"
acsm,"Adobe Content Server Message"
act,"Actor source code"
acv,"OS/2 Audio Drivers"
ad,"Screen saver data (AfterDark)"
ada,"Ada source code"
adb,"Ada Package Body"
adc,"Bitmap graphics - Scanstudio"
ade,"Microsoft Access Project"
adf,"Adapter Description"
adi,"Graphics (AutoCAD)"
adl,"Mca adapter description library (QEMM)"
adm,"After Dark Screen Saver Module"
adn,"Add-in (Lotus 1-2-3)"
ado,"Photoshop Duotone Options"
adp,"FaxWorks Modem setup"
adr,"Address Book"
ads,"Ada Package Specification"
adt,"Datafile for cardfile application (HP NewWave)"
adx,"Document (Archetype Designer)"
adz,"GZ-Packed Amiga Disk"
aeh,"iPer Advanced Embedded Hypertext"
aep,"Adobe After Effects Project"
aex,"PGP Armored Extracted Public Encryption Key"
af2,"Flowchart (ABC FlowCharter 2.0)"
aff,"AnyForm Form"
afi,"Truevision bitmap graphics"
afl,"Font file (for Allways) (Lotus 1-2-3)"
afm,"Type 1 font metric ASCII data for font installer"
afs,"Adobe Type Manager font set"
aft,"AnyForm template"
ag,"Applixware graphics"
agp,"Aspen Graphics Pages"
agw,"Aspen Graphics Windows"
ai,"Vector graphics (Adobe Illustrator)"
ain,"Compressed file archive created by AIN"
aio,"APL file transfer format"
air,"Adobe AIR Installation Package"
ais,"Array of Intensity Samples graphics (Xerox)"
aix,"Datafile for cardfile application (HP NewWave)"
ajp,"JPEG2000 Digital closed-circuit CCTV"
alb,"JASC Image Commander Album"
albm,"webAlbum Photo Album"
all,"Format file for working pages (Always)"
als,"Alias Image"
alt,"Menu file (WordPerfect Library)"
alx,"ActiveX Layout"
alz,"ALZip Compressed"
amf,"Music (Advanced Module Format)"
amff,"Amiga Metafile"
amg,"Compressed file archive created by AMGC"
amp,"Photoshop Arbitrary Map Settings"
amr,"Adaptive Multi-Rate ACELP Codec"
amv,"AMV Video"
amx,"After Effects Motion Exchange"
anc,"Animation file format (MorphInk)"
ani,"Animation (Presidio - many)"
anm,"Animation (Deluxe Paint Animator)"
ann,"Help Annotations (Windows 3.x)"
ans,"Ansi graphics (character animation)"
aos,"Add-On Software (Nokia 9000)"
ap,"Compressed Amiga file archive created by WHAP"
apc,"Printer driver (Lotus 1-2-3)"
apd,"Printer driver (Lotus 1-2-3)"
ape,"Music format (different players)"
apf,"Printer driver (Lotus 1-2-3)"
api,"Adobe Acrobat Plugin"
apk,"Android Package"
apl,"APL work space format"
apm,"ArcPad 6"
app,"Add-in application file (Symphony)"
apr,"Employee performance review (Employee Appraiser)"
aps,"MS Visual C++"
apx,"Appexpert database file (Borland C++ 4.5)"
arc,"Compressed file archive created by ARC"
arf,"Automatic Response"
arg,"AutoCAD Profile Export"
ari,"Compressed file archive created by ARI"
arj,"Compressed file archive created by ARJ (arj241.exe)"
arl,"AOL Organizer"
ark,"Arc file archive created by CP/M port of ARC file archiver"
arr,"Arrangement (Atari Cubase)"
ars,"Adobe After Effects Render"
art,"Graphics (scrapbook) (Art Import)"
arv,Arsiv
arx,"Compressed file archive created by ARX"
asa,"MS Visual InterDev"
asc,"Ascii text"
ascx,"Microsoft ASP.NET user control"
asd,"Autosave file (Word for Windows)"
asf,"Datafile (STATGRAPHICS)"
ash,"Assembly language header file (TASM 3.0)"
asi,"Assembler include file (Turbo C - Borland C++)"
asl,"Adobe Photoshop Layer"
asm,"Assembly source code"
asmx,"Microsoft .NET Web Service"
aso,"Assembler object"
asp,"Microsoft Active Server Page"
aspx,"Microsoft ASP.NET"
asr,"Ms Automap Route"
asx,"Microsoft Advanced Streaming Format"
at2,"Auto template (Aldus Persuasion 2.0)"
atm,"Adobe Type Manager data/info"
atn,"Adobe Photoshop Action"
atr,"Lightscape Material Library"
att,"AT&T Group 4 Bitmap"
aty,"3D Topicscape (Exported association type)"
au3,"Autoit3 script"
aud,Audio
aut,"AutoIt Script"
aux,"Auxillary references (TeX/LaTeX)"
ava,"Publication (Avagio)"
avb,"Inoculan Anti-Virus virus infected"
avd,"Avery Label Pro Data"
avr,"Audio Visual Research"
avs,Animation
avx,ArcView
aw,"Text file (HP AdvanceWrite)"
awb,"Lavasoft Ad-aware backup"
awd,"AWD MS Fax"
awe,"Adobe Acrobat Bookmark XML"
awk,"Awk script/program"
awm,"Movie (Animation Works)"
awp,"Microsoft Fax key viewer"
awr,"Telsis Digital Audio"
aws,"Data (STATGRAPHICS)"
ax,"DirectShow Filter"
axd,"Avery Label Pro Re-Index"
axe,"Paradigm C++ Integrated Debugger"
axg,"MS Autoroute Trip"
axl,"ArcIMS XML Project"
axs,"AMX Axcess control system file format"
axt,"ZenWorks snAPPshot ASCII Application Object template"
axx,"axxess files used as backups of Inter-Tel databases"
azw,"Amazon Kindle eBook"
azz,"AZZ Cardfile"
b,"Batch list (APPLAUSE)"
b&w,"Black and white graphics (atari - mac)"
b~k,backup
b00,"CD Image Segment"
b16,"PCO Graphic"
b1n,"Both mono and color binary screen image (1st Reader)"
b1s,Booksmith
b30,"Printer font (JLaser - Cordata) (Ventura Publisher)"
b3d,"3D Builder"
b5i,"Blindwrite 5 Disk Image"
b5t,"Blindwrite 5 Image Information"
b6i,"Blindwrite 6 Disk Image"
b6t,"Blindwrite 6 Image Information"
b8,"Raw graphics (one byte per pixel) plane two (PicLab)"
b_w,"Black and white graphics (atari - mac)"
bad,"Bad file (Oracle)"
bag,"PMMail Mail Index"
backup,"Ad-Aware Reference"
bak,Backup
bal,"Music score (Ballade)"
ban,"Sierra Print Artist Banner"
bar,"Horizontal bar menu object file - dBASE"
bas,"Basic source code"
bb,"Database backup (Papyrus)"
bba,"Settler IV Archive"
bbl,"Bibliographic reference (TeX/BibTeX)"
bbm,"Brush (Deluxe Paint)"
bbs,"Bulletin Board System announce or text info"
bc!,"Bitcomet Incompleted Download"
bcf,"ConfigSafe Snapshot index"
bch,"Batch process object file (dBASE Application Generator)"
bck,Backup
bcm,"MS Works Communications"
bcn,"Business Card Pro Design"
bco,"Outline font description (Bitstream)"
bcp,"Borland C++ makefile"
bct,"Business Card Designer template"
bcw,"Environment settings (Borland C++ 4.5)"
bde,"Borland Database Engine"
bdf,"Bitmap Distribution Format font file (X11)"
bdm,"AVCHD Index"
bdmv,"Blu-ray information"
bdr,"Border (MS Publisher)"
bez,"Outline font description (Bitstream)"
bf2,"Bradford 2 font"
bff,"Binary file format"
bfm,"Font metrics (unix/Frame)"
bfs,"Tivoli Storage Manager"
bfx,"Fax (BitFax)"
bga,"Bitmap graphics"
bgt,"Quicken 2002 Internet Common"
bgi,"Borland Graphics Interface device driver"
bgl,"Flight Simulator scenery"
bib,"Bibliography (ASCII)"
bic,"Civilization III Scenario"
bid,"BidMaker 2002"
bif,"Binary Image Format b&w graphics (Image Capture board)"
bik,"BioCharter Profile backup"
bin,Binary
bio,"OS/2 BIOS"
bip,"Free-motion capture files for character studio biped"
bit,"Bitmap Image"
bk,"Faxbook (JetFax)"
bk!,"Document backup (WordPerfect for Win)"
bk1,"Timed backup file - WordPerfect"
bk2,"Timed backup file - WordPerfect"
bk3,"Timed backup file - WordPerfect"
bk4,"Timed backup file - WordPerfect"
bk5,"Timed backup file - WordPerfect"
bk6,"Timed backup file - WordPerfect"
bk7,"Timed backup file - WordPerfect"
bk8,"Timed backup file - WordPerfect"
bk9,"Timed backup file - WordPerfect"
bkf,"Microsoft Backup"
bkg,Background
bkp,"Backup file (Write - TurboVidion DialogDesigner)"
bkw,"Mirror image of font set (FontEdit)"
blb,"DreamWorks Resource Archive"
bld,"Bloadable picture (BASIC)"
blend,"Blender 3D"
blf,"Windows Registry Recovery"
blg,"Binary Performance Log"
blk,"Temporary file (WordPerfect for Win)"
blob,"Steam Archive"
blt,"Saved AIM Buddy List"
bm,"Bitmap graphics"
bmf,"Corel Image"
bmi,"3ds max Executable"
bmk,"Help Bookmarks (Windows 3.x)"
bmx,"Buzz music"
bnd,Typequick
bndl,Bundle
bnk,"Adlib instrument bank"
bob,"BobDown Downloading Program"
bom,"MicroSim PCBoard Bill of Materials"
boo,"Compressed file ASCII archive - BOO (msbooasm.arc)"
book,"Adobe FrameMaker Book"
bot,Linkbot
box,"Myriad Jukebox"
bpc,"Chart (Business Plan Toolkit)"
bpl,"Delphi Library"
bpt,"Bitmap fills file (CorelDRAW)"
bqy,BrioQuery
br,"Script (Bridge)"
brd,"Eagle Layout"
brf,"Braille ASCII"
brk,"Fax (Brooktrout Fax-Mail)"
brn,"BornoSoft Bangla2000 (a Bengali word processor) File extension"
bro,"Tree Professional Broadleaf Creator"
brp,"Tree Professional Broadleaf Creator image"
brt,"Micrografx Picture Publisher"
brx,"Multimedia browsing index"
bsa,"Compressed file archive created by BSARC"
bsb,"MapInfo Sea Chart"
bsc,"Compressed Apple II file archive created by BINSCII"
bsdl,"Boundary Scan Description Language"
bsl,"BSPlayer Configuration"
bsp,"Half-life/TFC/CS Map"
bst,"BibTeX Style"
bsv,"Bluespec System Verilog"
bt!,"BitTorrent Partial Download"
btm,"Batch To Memory batch file (4DOS)"
btn,Buttonware
bto,"Baytex Organix! 2001 Language Kit"
btr,"Btrieve Database"
btx,"DB/TextWorks Database Term & Indexes"
bud,"Quicken Backup"
bug,"Bugs and Problems"
bun,"Bundled Audio files"
bup,"DVD Backup"
but,"Button definitions (Buttons!)"
buy,"Datafile format (movie)"
bv1,"Overflow - WordPerfect"
bv2,"Overflow - WordPerfect"
bv3,"Overflow - WordPerfect"
bv4,"Overflow - WordPerfect"
bv5,"Overflow - WordPerfect"
bv6,"Overflow - WordPerfect"
bv7,"Overflow - WordPerfect"
bv8,"Overflow - WordPerfect"
bv9,"Overflow - WordPerfect"
bwa,"BlindWrite Disk Image Information"
bwb,"Spreadsheet application (Visual Baler)"
bwi,Blindread/Blindwrite
bwr,"Beware (buglist) (Kermit)"
bws,"Blindwrite Sub Channel Data"
bwt,Blindread/Blindwrite
bxx,"blaxxun Contact"
bz2,"Bzip 2 UNIX Compressed"
c,"C source code"
c++,"C++ source code"
c--,"Source code (Sphinx C--)"
c00,"Print file (Ventura Publisher)"
c01,"Genesis 2000"
c2d,"WinOnCD CD Image"
c4d,"MAXON Cinema 4D File (Graphics)"
c60,"Midtronics Battery Management Software"
c86,"C source code file (Computer Innovation C86)"
ca,"Initial cache data for root domain servers (Telnet)"
cab,"Cabinet File (Microsoft installation archive)"
cache,"Cache file (typically Web cache)"
cad,"Document (Drafix Windows CAD)"
cac,"dBASE IV executable when caching on/off (see cachedb.bat)"
cag,"MS Clip Gallery Catalog"
cal,"Calendar file (Windows 3.x)"
calb,"Coolect Album file (Coolect Album Player)"
cam,"Casio Camera Graphic"
can,"Fax (Navigator Fax)"
cap,"Caption (Ventura Publisher)"
car,"AtHome Assistant"
cas,"Comma-delimited ASCII"
cat,"Catalog (dBASE IV)"
cb,"Clean Boot File (Microsoft)"
cbc,"Fuzzy logic system (CubiCalc)"
cbf,"Calendar Builder"
cbl,"Cobol source code"
cbm,"Compiled bitmap graphics (XLib)"
cbp,"CentralBuilder Project"
cbr,"ComicBook Reader File archive (CDisplay image viewer)"
cbt,"Computer Based Training (many)"
cbz,"ComicBook Reader File archive (CDisplay image viewer)"
cc,"C++ source code"
cca,"CC:Mail archive"
ccb,"Visual Basic Animated Button Configuration"
ccc,"Bitmap graphics (native format) (Curtain Call)"
ccd,"CloneCD Related"
cce,"Calendar Creator 2 Event"
ccf,"Communications configuration file (Symphony)"
cch,"Chart (CorelChart)"
ccl,"Communication Command Language file (Intalk)"
cco,"Btx Graphics file (XBTX)"
cct,"Macromedia Director Shockwave"
ccx,"Corel PrintHouse"
cda,"CD Audio Track"
cdb,"Card database (CardScan)"
cdd,"ConceptDraw Document"
cde,"Honeywell Hybrid Control Designer"
cdf,"Component Definition"
cdg,"Compact Disc Plus Graphics"
cdi,"Phillips Compact Disk Interactive format"
cdk,"Document (Atari Calamus)"
cdl,"CaseWare Working Papers Document Link"
cdm,"Media Maker Disk Image"
cdp,"Visual Objects Developer"
cdr,"Vector graphics (CorelDRAW native format)"
cdt,"Data (CorelDraw 4.0)"
cdx,"CorelDraw Compressed Image"
ce,"Main.ce (The FarSide Computer Calendar)"
ceb,"Apabi eBook"
ceg,"Bitmap graphics - Tempra Show"
cel,"Graphics (Autodesk Animator - Lumena)"
cf,"Sendmail Configuration"
cfb,"Comptons multimedia"
cfc,"Macromedia Coldfusion component extension"
cfg,Configuration
cfl,"Chart (CorelFLOW)"
cfm,"ColdFusion Markup Language (Allaire)"
cfn,"Font data (Atari Calamus)"
cfo,"C Form Object internal format object file (TCU Turbo C Utilities)"
cfp,"Quicken Cash Flow Projection"
cfr,"Crossfire Replay"
cga,"CGA display font (Ventura Publisher)"
cgd,"Cricket Graph Data"
cge,"CCD Astrocamera"
cgi,"Common Gateway Interface script"
cgm,"Computer Graphics Metafile vector graphics (A&L - HG - many)"
ch,"Header file (Clipper 5)"
ch3,"Chart (Harvard Graphics 3.0)"
ch4,"Presentation (Charisma 4.0)"
chd,"Font descriptor (FontChameleon)"
chi,"Document (ChiWriter)"
chk,"Recovered data (ChkDsk)"
chl,"Configuration History Log"
chm,"Compiled HTML"
chn,"Data (Ethnograph 3)"
cho,ChordPro
chp,"Chapter file (Ventura Publisher)"
chr,"Character set (Turbo C - Turbo Pascal)"
cht,"Chart (Harvard Graphics 2.0 - SoftCraft Presenter)"
chw,"Compiled Help Index"
cid,"AnalogX Caller ID"
cif,"Caltech Intermediate Format graphics"
ciff,"Canon CIFF"
cil,"Clip Gallery Download Package"
cit,"Intergraph Raster File Reference"
cix,"Database index (TCU Turbo C Utilities)"
ckb,"Keyboard mapping (Borland C++ 4.5)"
cl,"Common LISP source code"
cl3,"Easy CD Creator Layout"
cl4,"Easy CD Creator Layout"
cl5,"Easy CD Creator Layout"
clb,"ICQ Contact List"
clg,"Windows Catalog"
cli,"Client Management System Customer"
clm,COLIMO
clp,"Clip art graphics (Quattro Pro)"
clpi,"Blue-ray Disc Clip Information"
clr,"Color binary screen image (1st Reader)"
cls,"C++ class definition"
cm,"Data file (CraftMan)"
cmd,"Batch file (OS/2)"
cmf,"FM-music file (Creative Music File)"
cmg,CMG
cmk,"Card (Card Shop Plus)"
cml,"COMAL programming language"
cmm,"Cmm script (batch) file (CEnvi)"
cmo,"Virtools Composition"
cmp,"Header file for PostScript printer files (CorelDRAW)"
cmq,Culturemetrics
cmt,Culturemetrics
cms,"TrialDirector media storage"
cmv,"Animation (CorelMove CorelDraw 4.0)"
cmx,"Corel PhotoPaint Image"
cnc,"CNC general program data"
cnd,ControlDraw
cnf,"Configuration (program - printer setup)"
cnt,"Helpfile contents"
cnv,"Data conversion support file (Word for Windows)"
cob,"Cobol source code"
cod,"Datafile (Forecast Plus - MS Multiplan - StatPac Gold)"
col,"Color palette (Autodesk Animator - many)"
com,"Command (memory image of executable program) (DOS)"
con,"Configuration file (Simdir)"
conf,Configuration
config,Configuration
cor,"Protein Structure"
cpd,"Script (Complaints Desk)"
cpe,"MS Fax Cover Sheet"
cpf,"Fax (The Complete Fax)"
cph,"Corel Print House image"
cpi,"Code Page Information file (DOS)"
cpl,"Control panel file (Windows 3.x)"
cpo,"Corel Print House"
cpp,"C++ source code"
cpr,"Cubase Project"
cps,"Backup of startup files by Central Point PC Tools autoexec.cps"
cpt,"Compressed Mac file archive created by COMPACT PRO (ext-pc.zip)"
cpx,"Control Panel Applet"
cpy,"Copy Books Data"
cpz,"Music text file (COMPOZ)"
cr2,"Canon Raw Image"
crc,"Total Commander CRC"
crd,"Cardfile (Windows 3.x - YourWay)"
crf,"Cross-reference (MS MASM - Zortech C++)"
crh,"Links Games Course"
crp,"Encrypted database (dBASE IV)"
crs,"File Conversion Resource (WordPerfect 5.1)"
crt,"Terminal settings information (Oracle)"
crtr,"Multi-Ad Creator 7 document"
crtx,"Microsoft Chart Template"
cru,"Compressed file archive created by CRUSH"
crw,"Canon RAW Image"
crx,"Chrome Extension"
crz,"Links Games Course"
cs,"Visual C# Source"
csa,"Comma Deliminated Text"
csf,"Adobe Colour Settings"
csg,"Graph (Statistica/w)"
csh,"Hamilton Labs C Shell Script"
csk,"Claris Works"
csm,"Precompiled headers (Borland C++ 4.5)"
cso,"Compressed ISO Image"
csp,"PC Emcee Screen Image file (Computer Support Corporation)"
css,"Cascading Sheet Style"
cst,"Macromedia Director Cast"
ct,"Continous Tone"
ctc,"Control file (PC Installer)"
ctd,"Cobra Track Dump"
ctf,"Character code translation file (Symphony)"
ctg,"Canon Catalog"
ctl,"Microsoft Visual Basic Control"
ctn,CADTERNS
ctt,"Messenger contacts"
ctu,"CZTU, a gamma-ray analysis program. Need the CTZU.exe file to work"
ctx,"Course TeXt file (Microsoft online guides)"
cty,"SimCity City"
cue,"MS Cue Cards data"
cuf,"C Utilities Form definition (TCU Turbo C Utilities)"
cul,"Windows cursor library (IconForge, ImageForge, ImageForge PRO)"
cur,"Cursor image file (Windows 3.x)"
cut,"Bitmap graphics (Dr. Halo)"
cv4,"Color file (CodeView)"
cv5,"Canvas version 5"
cva,"ACD Canvas Sequence Set"
cvb,"Borland BDE"
cvd,Bitdefender
cvp,"Cover page (WinFax)"
cvr,"WinFax Cover Sheet"
cvt,"Backup file for CONVERTed database file (dBASE IV)"
cvw,"Color file (CodeView)"
cwk,"Claris Works data"
cwz,CropWalker
cxf,"Google Picasa Collage"
cxp,"Core Media Player XML-based Playlist"
cxt,"Macromedia Director Protected Cast"
cxx,"C++ source code file (Zortech C++)"
d,"D programming language source code"
d00,"Blaster Master Pro"
d10,"H&R Block Deduction Pro"
d2s,"Character file (Diablo 2)"
d3d,"File Extension for Desktop-3D Notes"
d64,"Commodore 64 Emulator Disk Image"
dat,"Data file in special format or ASCII"
data,"Sid Tune audio"
day,Journal
db,"Configuration (dBASE IV - dBFast)"
db$,"Temperature debug info (Clarion Modula-2)"
db2,"Database (dBASE II)"
db3,"Database (dBASE III)"
dba,"Datafile (DataEase)"
dbb,"ANSYS Database Backup"
dbd,"Business data (Business Insight)"
dbg,"Symbolic debugging information (MS C/C++)"
dbk,"Database backup (dBASE IV)"
dbl,"Windows XP Activation"
dbm,"Datafile (DataEase)"
dbo,"Compiled program (dBASE IV)"
dbs,"Database in SQL Windows format"
dbt,"Data Base Text (Clipper)"
dbw,"Windows file (DataBoss)"
dbx,Database
dca,"Document Content Architecture text file (IBM DisplayWrite)"
dcf,"Disk image"
dcm,"DCM Module Format"
dcp,"Data CodePage (OS/2)"
dcr,"Kodak Proprietary Image Format"
dcs,"Bitmap graphics (CYMK format) (QuarkXPress)"
dct,"Database dictionary (Clarion Database Developer)"
dcx,"FAX Image"
dd,"Compressed Macintosh file archive created by DISKDOUBLER"
ddat,"DivX Temporary"
ddb,"Bitmap graphics"
ddc,"DivX Descriptor Description"
ddf,"MS Data Definition Language"
ddi,"Diskdupe Image file (ddupe322.zip)"
ddp,"Device Driver Profile file (OS/2)"
de,"MetaProducts Download Express incompletely downloaded"
de7,"Dance E jay 7"
deb,"Debug script (DOS Debug)"
dec,"VersaPro Declaration"
def,"Assembly header file (Geoworks)"
dem,Demonstration
des,"Description Text"
dev,"Device driver"
dfd,"Data Flow Diagram graphic (Prosa)"
dff,"Criterion RenderWare 3.x 3D object format"
dfi,"Outline font description (Digifont)"
dfl,"Default program settings (Signature)"
dfm,"Data Flow Diagram model file (Prosa)"
dfs,"Delight Sound"
dft,Fakt2000
dfv,"Printing form (Word)"
dfx,Drafix
dgn,"Graphics (MicroStation)"
dgr,"Fax Page (MS Outlook Express)"
dgs,Diagnostics
dh,"Dependency information for .ph (Geoworks)"
dhp,"Dr. Halo PIC Format graphics (Dr. Halo II - III)"
dht,"Datafile (Gauss)"
dhy,"Adobe Bridge"
dia,"Diagraph graphics (Computer Support Corporation)"
dib,"Bitmap graphics (Device-Independent Bitmap)"
dic,"Lotus Notes / Domino dictonary"
dig,"Digilink Format"
dip,Graphics
dir,"Adobe Director Movie"
dis,"DATAIR data import specification"
divx,"DivX Encoded Movie"
diz,"Description file (Description In Zip)"
dje,"MattBatt iAM-player"
djv,"DJVu Scanned"
djvu,DJVu
dkb,"Raytraced graphics (DKBTrace)"
dl,"Animation (Italian origin)"
dl_,"Compressed .dll file in an Install Archive"
dld,"Data (Lotus 1-2-3)"
dlg,"Dialog resource script file (MS Windows SDK)"
dll,"Dynamic Link Library (Windows 3.x - OS/2)"
dls,"Setup (Norton Disklock)"
dmf,"Delusion/XTracker digital music"
dmg,"Macintosh OS X Disk Image"
dml,"Medical Manager DML System Script"
dmo,"Demo (Derive)"
dmp,"Dump file (eg. screen or memory)"
dms,"Compressed Amiga file archive created by DISKMASHER"
dmsk,"DivX Web Player Temporary"
dna,"Desktop DNA data storage"
dnasym,"Desktop DNA compiled application script"
dnax,"Desktop DNA exclusion list (text)"
dne,"Netica Bayes net file (Norsys Software Corp.)"
dng,"Adobe Digital Negative fFile"
dnl,"DigitalWebBook Electronic Book"
do,"ModelSim Filter Design HDL Coder"
docm,"Open XML Macro-enabled Document file - Microsoft Word"
dog,"Screen file (Laughing Dog Screen Maker)"
doh,"Dependency information for .poh (Geoworks)"
dol,"Nintendo Executable"
dos,"External command file (1st Reader)"
dot,"Line-type definition file (CorelDRAW)"
dotx,"Microsoft Word 2007 / Word 2010 Template"
dox,"Text file (MultiMate 4.0)"
doz,"Description Out of Zip (VENDINFO)"
dp,"Calendar file (Daily Planner)"
dpg,"Nintendo DS MPEG Video"
dpk,"Delphi Package"
dpp,"Serif DrawPlus Drawing"
dpr,"Default project- and state-related information (Borland C++)"
dps,"DivX Player Skin"
dpt,"Desktop DNA template"
dpx,"Digital moving picture exchange format"
dra,"Map Maker Pro GIS vector layer"
drs,"Display Resource (WordPerfect for Win)"
drv,"Device driver eg. for printer"
drw,"Drawing (various)"
ds,"Twain Data Source"
ds4,"Vector graphics (Micrografx Designer 4.0)"
dsa,"DasyTec DASYLab"
dsb,"DasyTec DASYLab"
dsc,"Discard file (Oracle)"
dsd,"Database (DataShaper)"
dsf,"Micrografx Designer"
dsk,"Project desktop file (Borland C++ - Turbo Pascal)"
dsm,"Digital sound module (DSI)"
dsn,"ODBC Data Source"
dsp,"Display parameters (Signature)"
dsp2,"ReaderX and DragonStar Pro Ltd file extensions"
dsr,"Driver Resource (WordPerfect for Win)"
dss,"Screensaver file (DCC)"
dst,"PC-RDist Distribution"
dsw,"Desktop settings (Borland C++ 4.5)"
dsy,"PC Draft Symbol Library"
dt_,"Data fork of a Macintosh file (Mac-ette)"
dta,"Data file (Turbo Pascal - PC-File - Stata)"
dtd,"SGML Document Definition"
dtf,"Database file (PFS - Q&A)"
dtp,"Document (Timeworks Publisher3)"
dup,"Duplicate Backup"
dus,"Readiris font dictionary"
dvc,"Data (Lotus 1-2-3)"
dvf,"DV Studio Camcorder Graphics"
dvi,"Device Independent document (TeX)"
dvp,"Desqview Program Information file (DESQview)"
dvr,"Windows Media Center Recorded"
dvr-ms,"files created by Stream Buffer Engine(SBE)"
dw2,"Drawing (DesignCAD for windows)"
dwc,"Compressed file archive created by DWC (dwc-a501.exe)"
dwd,"Davka Writer"
dwf,"Autodesk WHIP! Drawing Web"
dwg,"Drawing (Drafix)"
dwk,"DADiSP Worksheet"
dwl,"Drawing Lock"
dwt,"AutoCAD Template/Prototype"
dwz,"DVD movieFactory 3"
dx,"Text file (DEC WPS/DX format - DEC WPS Plus)"
dxf,"Drawing Interchange File Format vector graphics (AutoCAD)"
dxn,"Fax (Fujitsu dexNET)"
dxr,"Adobe Director Movie"
dyc,"ICUII Videochat"
dylib,"Apple osx extension for lib"
dyn,"Data (Lotus 1-2-3)"
dz,"Dzip Compressed"
e3p,"CIM-Team E3.series parts"
e3s,"CIM-Team E3.series project file format"
e3t,"CIM-Team E3.series template"
e3v,"CIM-Team E3.series viewer project file format"
eap,"Enterprise Architect Project"
ear,"Java Enterprise Application Packaging Unit"
eas,"Elite Visual Basic API Spy"
ebj,"Error-checking object file (Geoworks)"
ebo,"MS Reader Ebook Format"
ebp,"Pocket PC WindowsCE Project"
ecf,"Microsoft Outlook Add-on"
eco,"NetManage ECCO"
ecw,"Ensoniq Waveset Format"
edb,"MS Exchange Database"
edl,"Edit Decision List (management for video/film post production)"
edr,"Portable energy file - GROMACS 3.3"
eds,"Ensoniq SQ80 disk image"
edt,"Default settings (VAX Edt editor)"
eeb,"Button bar for Equation Editor (WordPerfect for Win)"
efe,"Ensoniq EPS"
eft,"High resolution screen font (ChiWriter)"
efx,"Fax (Everex EFax)"
ega,"EGA display font (Ventura Publisher)"
ek5,"SonarData Echoview"
ek6,"SonarData Echoview"
ekm,"EXP: The Scientific Word Processor Macro"
el,"Elisp source code file (Emacs lisp)"
elc,"Compiled ELISP code (Emacs lisp)"
